hmm,prefix_url
IPL,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
IucA_IucC,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
KtzT,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LANC_like,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LE-DUF,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LE-LAC481,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LE-LanBC,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LE-MER+2PEP,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
L_biotic_typeA,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Lactococcin,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Lactococcin_972,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LcnG-beta,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Linocin_M18,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LipM,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LipU,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LipV,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
LmbU,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Lycopene_cycl,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Lys_monoox,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MA-2PEPA,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MA-2PEPB,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MA-DUF,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MA-EPI,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MA-LAC481,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MA-NIS+EPI,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MA-NIS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MGT,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MbnC,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MetRS-like,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Metallophos_2,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
MoeO5,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
NTP_transf_3,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
NTP_transf_5,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
NapT7,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
NasY,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Neocarzinostat,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Orn_monoox,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PALP,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PEP_mutase,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00043,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00067,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00069,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00082,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00106,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00107,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00128,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00278,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00326,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00441,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00561,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00675,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00682,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00733,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00743,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00881,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00899,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00908,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF00953,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01041,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01050,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01075,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01135,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01326,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01501,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01596,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01636,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01761,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01820,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01943,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF01947,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02163,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02222,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02350,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02397,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02441,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02517,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02543,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02563,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02585,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02655,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02719,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02770,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02771,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02784,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02806,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF02922,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF03171,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF03412,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF03572,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF04055,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF04101,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF04321,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF04345,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF04647,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF04738,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF04820,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF04932,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF05159,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF05193,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF05343,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF05402,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF05655,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF05721,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF06968,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF07366,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF07478,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF07812,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF08240,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF08437,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF08443,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF12464,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF12697,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13165,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13186,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13292,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13353,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13417,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13471,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13537,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13561,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF13575,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF14028,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF16715,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PF17914,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PUFA_KS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Peptidase_S28,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PoyD,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PvdO,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
PvdP,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam001,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam002,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam003,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam004,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam006,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam007,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam008,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam009,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam010,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam011,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam012,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam013,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam014,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam015,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam016,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam017,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam018,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam019,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam020,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam021,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam022,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam023,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam024,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam025,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam026,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam027,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam028,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
RREFam029,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
SBH_Asp,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
SalSyn,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Subtilosin_A,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TBH_Asp,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR01193,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR01408,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR01716,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR02111,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR02278,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03103,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03104,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03106,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03601,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03602,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03603,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03604,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03605,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03651,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03678,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03693,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03731,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03793,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03795,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03798,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03882,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03966,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03973,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR03975,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR04078,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR04085,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR04103,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR04223,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR04363,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR04404,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TIGR04424,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TPP_enzyme_C,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TPP_enzyme_N,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TP_methylase,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TRI5,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Terpene_synth,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Terpene_synth_C,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
ToyB,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
TunD,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
UbiA,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
VbsL,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
VibH_like,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
YcaO,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
adsi_dh,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
bacilysin,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
bcpB,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
botH,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
bt1fas,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
cyanobactin_synth,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
cycdipepsynth,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
cypI,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
cypemycin,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
dmat,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
ectoine_synt,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
ene_KS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
fabH,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
frbD,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
ft1fas,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
fung_ggpps,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
fung_ggpps2,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
glycocin,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
goadsporin_like,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
hglD,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
hglE,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
hyb_KS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
indole_PTase,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
indsynth,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
itr_KS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
ksIII,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
ladderane,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
lasso,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
mcjC,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
melC,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
micJ25,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
micKC,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
mitE,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
mmyO,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
mod_KS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
moeGT,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
mvd_mst,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
