hmm,prefix_url
abmotifs,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/nrps_pks_domains/data/
ksdomains,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/nrps_pks_domains/data/
nrpspksdomains,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/nrps_pks_domains/data/
2-Hacid_dh_C,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
APE_KS1,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
APE_KS2,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
ATd,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
AesA,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
AesB,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
AesC,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
AfsA,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Aldedh,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Antimicrobial14,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Antimicrobial17,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Antimicrobial18,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
AurF,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Autoind_synth,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
BLS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
BacteriocIIc_cy,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Bacteriocin_II,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Bacteriocin_IIc,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Bacteriocin_IId,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Bacteriocin_IIi,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
CAS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
CTP_transf_like,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
CaiA,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Chal_sti_synt_C,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Chal_sti_synt_N,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Cloacin,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
CntL,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
CntM,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Condensation,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Cy_tandem,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
CyanoBH_Asp1,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
CyanoBH_Asp2,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
DOIS,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
DUF1205,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
DUF3328,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
DUF4992,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
DUF692,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
DarB,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
EntA,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
EntC,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
FabF,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
FbnL,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
FbnM,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Fe-ADH,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Gallidermin,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Glyco_transf_28,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Glycos_transf_1,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
Glycos_transf_2,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
GrbD,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
GrbE,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
IBH_Asp,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
IBH_His,https://raw.githubusercontent.com/antismash/antismash/master/antismash/detection/hmm_detection/data/
